Test case,N = ?,Output,Running Time
0,4,24,0.0006175041198730469
1,4,19,0.0005011558532714844
2,4,24,0.0
3,4,14,0.000499725341796875
4,8,37,0.35656166076660156
5,8,21,0.3445596694946289
6,8,30,0.3515610694885254
7,8,46,0.3385586738586426
8,12,50,7920.927924871445
