Test case,N = ?,Output,Running Time,Optimal Route
0,2,11,0.0009925365447998047,"[1, 2]"
1,2,5,0.0,"[2, 1]"
2,2,4,0.0,"[2, 1]"
3,2,14,0.0,"[2, 1]"
4,4,11,0.001001119613647461,"[2, 1, 3, 4]"
5,4,18,0.001001119613647461,"[3, 4, 1, 2]"
6,4,20,0.0,"[2, 1, 4, 3]"
7,4,25,0.0006563663482666016,"[3, 2, 1, 4]"
8,6,20,0.0029990673065185547,"[5, 6, 3, 1, 2, 4]"
