Test case,N = ?,Output,Running Time,Optimal Route
0,2,11,0.0,"[1, 2]"
1,2,5,0.0010044574737548828,"[2, 1]"
2,2,4,0.0005605220794677734,"[2, 1]"
3,2,14,0.0009918212890625,"[2, 1]"
4,4,11,0.0010006427764892578,"[2, 1, 3, 4]"
5,4,18,0.0010023117065429688,"[3, 4, 1, 2]"
6,4,20,0.0,"[2, 1, 4, 3]"
7,4,24,0.0,"[2, 3, 4, 1]"
8,6,16,0.0010008811950683594,"[5, 1, 3, 4, 2, 6]"
