Test case,N = ?,Output,Running Time
0,4,24,0.0
1,4,19,0.0
2,4,24,0.008064985275268555
3,4,14,0.008188486099243164
4,8,37,0.19031357765197754
5,8,21,0.18962502479553223
6,8,30,0.1910998821258545
7,8,46,0.18801546096801758
