Test case,N = ?,Output,Running Time
0,4,26,0.0
1,4,13,0.0
2,4,18,0.0
3,4,14,0.0
4,8,26,0.16304779052734375
5,8,39,0.1670522689819336
6,8,21,0.16203546524047852
7,8,25,0.16103672981262207
